write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s)
0.1998              ,0.05498839907192576  ,3127.0540836511987 ,  1083.1993999999904 ,     50.0 ,            1.0 ,    0.0 ,1765.0546021840873  ,                       0.122444 ,             0        ,              0        ,            3.204745
0.2052              ,0.057600073787124145 ,3186.9594717550935 ,  1084.1744999999908 ,     60.0 ,            1.0 ,    0.0 ,1622.1740476927841  ,                       0.121677 ,             0.175041 ,              0.014482 ,            3.230102
0.20040160642570282 ,0.056208601548651926 ,3091.8877371572576 ,  1083.3613453815121 ,     20.0 ,            1.0 ,    1.0 ,2152.9126213592235  ,                       0.127696 ,             0.151583 ,              0.014402 ,            3.325618
0.2003              ,0.055473235784404516 ,3040.2917707206525 ,  1081.319799999994  ,     30.0 ,            1.0 ,    1.0 ,2037.2439478584731  ,                       0.143797 ,             0.156871 ,              0.017691 ,            3.265826
0.1986986986986987  ,0.054609403924472416 ,3109.812813549445  ,  1080.8113113112925 ,      1.0 ,            1.0 ,    1.0 , 205.7302886686773  ,                       0.126163 ,             0.152297 ,              0.014101 ,            4.67932
0.1974              ,0.053892493049119555 ,3029.099651623249  ,  1078.9080999999876 ,     20.0 ,            1.0 ,    1.0 ,2299.016594960049   ,                       0.178677 ,             0.151644 ,              0.014345 ,            3.301192
0.1963              ,0.053990175178422466 ,3079.538315615723  ,  1082.5898999999927 ,     20.0 ,            0.0 ,    0.0 , 913.575735428467   ,                       0.137938 ,             0.152973 ,              0.016727 ,           11.494249
0.1993              ,0.05518038852913969  ,3018.3886271945953 ,  1076.1327000000158 ,     30.0 ,            1.0 ,    1.0 ,2073.6681887366817  ,                       0.130923 ,             0.159121 ,              0.017844 ,            3.319387
0.2071071071071071  ,0.05556069578090304  ,3061.124121995142  ,  1083.2562562562464 ,     20.0 ,            1.0 ,    1.0 ,2180.9320743222665  ,                       0.125066 ,             0.17328  ,              0.014323 ,            3.332304
0.1985              ,0.05574089519043648  ,3051.20936208671   ,  1082.7302999999902 ,     20.0 ,            1.0 ,    1.0 ,2224.1169305724725  ,                       0.124674 ,             0.154213 ,              0.015023 ,            3.284728
0.1906              ,0.05497819430268164  ,3052.6931469481005 ,  1082.9836999999898 ,     20.0 ,            1.0 ,    1.0 ,2325.6880733944954  ,                       0.128456 ,             0.157217 ,              0.015306 ,            3.312572
0.2003              ,0.05542650065043672  ,3066.529899433152  ,  1081.6157999999864 ,     40.0 ,            1.0 ,    1.0 ,2050.601666152422   ,                       0.125607 ,             0.153367 ,              0.01469  ,            3.243075
0.2056              ,0.05630692796025393  ,3099.4412327345626 ,  1082.0906999999931 ,     20.0 ,            1.0 ,    1.0 ,2210.861650485437   ,                       0.123035 ,             0.182694 ,              0.014429 ,            3.297411
0.2029              ,0.05482294356326079  ,3051.3006016249396 ,  1081.964499999984  ,     20.0 ,            1.0 ,    1.0 ,2090.4191616766466  ,                       0.126101 ,             0.155042 ,              0.014244 ,            3.342639
0.2091              ,0.057970347177456485 ,3007.2818322285584 ,  1082.5123999999835 ,     20.0 ,            1.0 ,    1.0 ,2139.0748630553867  ,                       0.128797 ,             0.174739 ,              0.015084 ,            3.286787
0.1907              ,0.05678335964342093  ,3060.427841691413  ,  1082.00809999999   ,     20.0 ,            1.0 ,    1.0 ,2238.7640449438204  ,                       0.129107 ,             0.156491 ,              0.014567 ,            3.245718
0.204               ,0.05677723366903816  ,3151.8657153915688 ,  1082.5713999999912 ,     20.0 ,            1.0 ,    1.0 ,2273.039675101531   ,                       0.124397 ,             0.153294 ,              0.014352 ,            3.250387
0.2011              ,0.05497915701713756  ,3132.5622009382023 ,  1084.3204999999903 ,     20.0 ,            1.0 ,    1.0 ,2121.8165081313286  ,                       0.127824 ,             0.155846 ,              0.014906 ,            3.260066
0.2021              ,0.055242233727810654 ,3073.052921351664  ,  1082.8230999999896 ,     20.0 ,            1.0 ,    1.0 ,2198.3471074380163  ,                       0.124655 ,             0.174269 ,              0.01465  ,            3.311105
