write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput         ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s) ,optimal_action_predicted
0.5011              ,0.06214125280758672  ,3488.6442884090143 ,  11.478700000000295 ,      1.0 ,            1.0 ,    0.0 ,131.427304964539   ,                       0.131974 ,             0        ,              0.015967 ,            4.611848 ,      195.6201277884599
0.4886              ,0.06112551216656911  ,3560.624619013166  ,  11.654300000000283 ,      1.0 ,            1.0 ,    0.0 ,144.10279944928865 ,                       0.189801 ,             0.174144 ,              0.014366 ,            4.45889  ,      203.95259015726452
0.5008              ,0.060733463763892936 ,3576.348605295571  ,  11.989600000000234 ,      1.0 ,            1.0 ,    0.0 ,146.711259754738   ,                       0.205573 ,             0.171593 ,              0.016455 ,            4.584953 ,      241.5060878295445
0.4986              ,0.06270889037433156  ,3595.599992377328  ,  10.893900000000276 ,     40.0 ,            1.0 ,    0.0 ,394.8096885813149  ,                       0.188166 ,             0.174219 ,              0.014713 ,            2.992287 ,      195.65667656252725
0.4944              ,0.06262541806020067  ,3577.880256219161  ,  10.666500000000319 ,     50.0 ,            1.0 ,    0.0 ,408.3129584352078  ,                       0.139885 ,             0.173654 ,              0.014681 ,            2.964504 ,      199.38630156995677
0.5089              ,0.06213729066489803  ,3569.1697968285785 ,  11.271100000000272 ,     50.0 ,            1.0 ,    0.0 ,409.1238233164374  ,                       0.133526 ,             0.174725 ,              0.014546 ,            2.860832 ,      322.658664172405
0.5012              ,0.06320833333333334  ,3691.9864326882575 ,  11.164300000000294 ,     50.0 ,            1.0 ,    0.0 ,411.9971264367816  ,                       0.131917 ,             0.174197 ,              0.014668 ,            2.909578 ,      238.7037691651489
0.5041              ,0.061028734187819386 ,3632.8932325375    ,  11.93640000000031  ,     50.0 ,            1.0 ,    0.0 ,404.8033414549252  ,                       0.133946 ,             0.177442 ,              0.014667 ,            2.975986 ,      203.9455411009016
0.4964              ,0.062432229543748434 ,3597.7344346717987 ,  12.134300000000279 ,     50.0 ,            1.0 ,    0.0 ,399.07932011331445 ,                       0.135159 ,             0.176765 ,              0.014481 ,            2.930654 ,      308.86740434351157
0.5061              ,0.06485907367727048  ,3646.7269713750165 ,  11.929500000000315 ,     50.0 ,            1.0 ,    0.0 ,387.8340365682138  ,                       0.132805 ,             0.174126 ,              0.014802 ,            2.939734 ,      344.26332039233654
0.5016              ,0.06277092364121374  ,3653.17087925978   ,  12.297800000000342 ,     50.0 ,            1.0 ,    0.0 ,398.62418537291813 ,                       0.131655 ,             0.182855 ,              0.013973 ,            2.887885 ,      366.5747352554164
0.4937              ,0.06108333333333334  ,3700.1748332608718 ,  12.46830000000037  ,     50.0 ,            1.0 ,    0.0 ,395.2596723597072  ,                       0.131917 ,             0.173619 ,              0.014151 ,            2.991913 ,      370.7063026265707
0.5023              ,0.06342662002332167  ,3590.434794472741  ,  10.858200000000293 ,     30.0 ,            1.0 ,    0.0 ,416.5487977369165  ,                       0.137203 ,             0.176992 ,              0.014477 ,            2.951859 ,      278.41414361005957
0.4992992992992993  ,0.06342503553808847  ,3646.6335439912127 ,  12.560260260260632 ,     50.0 ,            1.0 ,    0.0 ,407.16040716040715 ,                       0.137208 ,             0.176708 ,              0.014538 ,            2.936932 ,      214.5245752137806
0.5054              ,0.060558100791336944 ,3639.0115134685275 ,  12.062800000000372 ,     30.0 ,            1.0 ,    0.0 ,400.14445648248466 ,                       0.131303 ,             0.173227 ,              0.014152 ,            2.870147 ,      332.1023457596545
0.5022022022022022  ,0.06348741954359274  ,3730.5615895553237 ,  12.477177177177486 ,     30.0 ,            1.0 ,    0.0 ,393.29374781697516 ,                       0.132451 ,             0.17292  ,              0.014152 ,            2.946813 ,      209.67605285967707
0.4993993993993994  ,0.06270216471759144  ,3630.939530136798  ,  12.299399399399755 ,     30.0 ,            1.0 ,    0.0 ,408.4556254367575  ,                       0.133175 ,             0.172323 ,              0.014216 ,            2.921847 ,      258.33431298705824
0.502002002002002   ,0.06249476417860434  ,3662.150991328511  ,  13.081681681681973 ,      1.0 ,            1.0 ,    0.0 ,151.61801312514143 ,                       0.13896  ,             0.175413 ,              0.014341 ,            4.519918 ,      195.53980356224912
0.5024              ,0.06358935868568093  ,3561.7101907651977 ,  11.318800000000312 ,     40.0 ,            1.0 ,    0.0 ,398.74520738933427 ,                       0.189302 ,             0.173863 ,              0.016469 ,            2.970088 ,      309.79984872670315
0.504               ,0.06432139883430475  ,3633.330136002814  ,  11.193200000000283 ,     50.0 ,            1.0 ,    0.0 ,404.3385490753912  ,                       0.142051 ,             0.172001 ,              0.014305 ,            2.897143 ,      197.82237663574756
0.5031              ,0.062427071178529754 ,3700.7198270135527 ,  12.730100000000373 ,     30.0 ,            1.0 ,    0.0 ,432.77160272499106 ,                       0.130158 ,             0.174168 ,              0.014127 ,            2.899777 ,      336.7694051036128
0.4973973973973974  ,0.062400735601437766 ,3708.7609174561244 ,  13.159259259259587 ,     40.0 ,            1.0 ,    0.0 ,406.64335664335664 ,                       0.133511 ,             0.174881 ,              0.014503 ,            2.920021 ,      375.5392476719286
0.4963              ,0.061903965199933075 ,3664.7313220554893 ,  11.937000000000312 ,     30.0 ,            1.0 ,    0.0 ,401.7155110793424  ,                       0.130777 ,             0.173455 ,              0.014177 ,            2.873315 ,      205.5692046981611
0.502002002002002   ,0.061394728061394725 ,3717.4389190178817 ,  13.166066066066366 ,     30.0 ,            1.0 ,    0.0 ,409.2974484445998  ,                       0.131571 ,             0.173465 ,              0.014072 ,            2.967335 ,      345.5302721159331
0.4940940940940941  ,0.06278720026735735  ,3645.6261609257485 ,  12.466866866867187 ,     40.0 ,            1.0 ,    0.0 ,390.02424662279185 ,                       0.132672 ,             0.17576  ,              0.014658 ,            2.96873  ,      347.79186756775374
0.5098              ,0.06271559785545074  ,3598.3273535129933 ,  11.392900000000328 ,     30.0 ,            1.0 ,    0.0 ,369.9091215079098  ,                       0.134487 ,             0.172863 ,              0.015857 ,            3.053621 ,      350.83867254342226
0.4938938938938939  ,0.06184320266889074  ,3485.031632156481  ,  11.470770770771054 ,     30.0 ,            1.0 ,    0.0 ,411.7436448263516  ,                       0.134149 ,             0.173046 ,              0.014177 ,            2.899722 ,      216.61680312957324
0.4978978978978979  ,0.062285331322777915 ,3678.3156480849743 ,  12.85175175175209  ,     30.0 ,            1.0 ,    0.0 ,403.2951289398281  ,                       0.132092 ,             0.172744 ,              0.014224 ,            2.93413  ,      273.51538867615477
0.5009009009009009  ,0.06231702216645755  ,3613.290398232345  ,  11.159259259259548 ,     50.0 ,            1.0 ,    0.0 ,395.84824624194704 ,                       0.131097 ,             0.174966 ,              0.014217 ,            2.873421 ,      205.90807225716395
0.5016              ,0.06169999163389944  ,3704.874169506144  ,  12.948600000000374 ,     50.0 ,            1.0 ,    0.0 ,393.0348258706467  ,                       0.131348 ,             0.17406  ,              0.014006 ,            2.943756 ,      259.2879849545289
0.5082              ,0.06208499335989376  ,3631.0253688849452 ,  12.794500000000312 ,     20.0 ,            1.0 ,    0.0 ,423.06306306306305 ,                       0.130847 ,             0.173751 ,              0.014569 ,            2.875507 ,      209.81872535435608
0.5013              ,0.062380675686893004 ,3731.613407836239  ,  13.367100000000352 ,     20.0 ,            1.0 ,    0.0 ,400.070126227209   ,                       0.135736 ,             0.172496 ,              0.01461  ,            2.955776 ,      258.95670592653755
0.4979              ,0.0640704566324401   ,3628.4852053958475 ,  12.678600000000328 ,     30.0 ,            1.0 ,    0.0 ,399.86163957108266 ,                       0.134718 ,             0.19263  ,              0.014234 ,            3.008194 ,      250.92697799076177
0.4990990990990991  ,0.061139203476952654 ,3562.357117921152  ,  10.715815815816113 ,     20.0 ,            1.0 ,    0.0 ,376.1658031088083  ,                       0.132645 ,             0.173891 ,              0.014023 ,            3.002498 ,      291.7462092897173
0.5067              ,0.06292275574112735  ,3567.8377975309136 ,  10.76400000000029  ,     30.0 ,            1.0 ,    0.0 ,408.77437325905294 ,                       0.139225 ,             0.177261 ,              0.014857 ,            2.972811 ,      228.20552316546184
