write_ratio ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s)
     0.4971 ,0.06282679060502946  ,4013.478867428372  ,  10.410900000000334 ,     50.0 ,            1.0 ,    0.0 , 432.88854003139716 ,                       0.148064 ,             0        ,              0        ,            2.646439
     0.4999 ,0.06314647981314649  ,3996.8089477361273 ,  10.434100000000356 ,      1.0 ,            0.0 ,    0.0 ,2411.96333815726    ,                       0.162975 ,             0.163557 ,              0.014355 ,            4.293471
     0.5004 ,0.06428511949371304  ,3853.3507196517808 ,   9.567400000000447 ,      1.0 ,            0.0 ,    0.0 ,2460.0246002460026  ,                       0.207396 ,             0.156093 ,              0.013969 ,            4.166833
     0.5023 ,0.06330588137426171  ,3861.36614361888   ,   9.99560000000045  ,      1.0 ,            0.0 ,    0.0 ,2405.5809477988937  ,                       0.209073 ,             0.152376 ,              0.015853 ,            4.257542
     0.5093 ,0.062027733953333886 ,3871.7011170632063 ,   9.9028000000005   ,      1.0 ,            0.0 ,    0.0 ,2396.3575365444526  ,                       0.205883 ,             0.154532 ,              0.013875 ,            4.270981
     0.4944 ,0.06459290187891441  ,3928.814594131844  ,   9.941900000000505 ,      1.0 ,            0.0 ,    0.0 ,2464.8755237860487  ,                       0.205527 ,             0.154066 ,              0.013857 ,            4.156001
     0.4959 ,0.0620352577491854   ,3894.149235481151  ,  10.78750000000006  ,      1.0 ,            0.0 ,    0.0 ,2405.5809477988937  ,                       0.215846 ,             0.171889 ,              0.015179 ,            4.287713
     0.4957 ,0.062018102581294    ,3803.5193203567396 ,  10.690400000000713 ,      1.0 ,            0.0 ,    0.0 ,2273.2439190725167  ,                       0.204486 ,             0.154691 ,              0.01391  ,            4.500313
     0.5005 ,0.06313780801460217  ,3815.592418417865  ,  12.02840000000062  ,      1.0 ,            0.0 ,    0.0 ,2244.668911335578   ,                       0.204613 ,             0.157989 ,              0.013924 ,            4.566636
     0.4975 ,0.06361969835847013  ,3800.0981185334203 ,   9.81550000000044  ,      1.0 ,            0.0 ,    0.0 ,2302.555836979047   ,                       0.210559 ,             0.155644 ,              0.014029 ,            4.443348
     0.506  ,0.06388380223073081  ,3770.693566291809  ,   9.947700000000477 ,      1.0 ,            0.0 ,    0.0 ,2470.9661477637756  ,                       0.210973 ,             0.157983 ,              0.013946 ,            4.14713
