write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s)
0.501               ,0.061734566358410396 ,4109.348109453309  , 12.429100000000348  ,      1.0 ,            1.0 ,    0.0 , 138.33448038540948 ,                       0.13343  ,             0        ,              0.015631 ,            4.458988
0.5003              ,0.06433624635871826  ,3798.618518417222  , 11.208500000000308  ,      1.0 ,            1.0 ,    0.0 , 134.72706155632986 ,                       0.193166 ,             0.19396  ,              0.014229 ,            4.388119
0.4937              ,0.06295955882352941  ,3873.6643121243756 , 11.02020000000027   ,      1.0 ,            1.0 ,    0.0 , 153.73798921959224 ,                       0.207817 ,             0.173253 ,              0.016509 ,            4.366922
0.5048              ,0.061754151714929484 ,3824.5276134718215 , 11.425600000000323  ,     50.0 ,            1.0 ,    0.0 , 422.83710054559623 ,                       0.199178 ,             0.174346 ,              0.013984 ,            2.654919
0.4925              ,0.06161177060692192  ,4038.4313278887203 , 12.660300000000372  ,     50.0 ,            1.0 ,    0.0 , 415.27723924001555 ,                       0.145658 ,             0.170068 ,              0.014473 ,            2.64248
0.5008              ,0.06253124479253458  ,4105.862268029046  , 11.9270000000003    ,     50.0 ,            1.0 ,    0.0 , 429.97253825029424 ,                       0.13573  ,             0.171512 ,              0.014227 ,            2.666029
0.5033              ,0.062193805530183506 ,4051.9886349822764 , 12.240400000000323  ,     40.0 ,            1.0 ,    0.0 , 434.52615021628    ,                       0.156873 ,             0.171564 ,              0.014003 ,            2.637063
0.501               ,0.061261185916199716 ,4095.4569096501255 , 13.051500000000374  ,     50.0 ,            1.0 ,    0.0 , 425.5065554231228  ,                       0.136331 ,             0.168148 ,              0.014027 ,            2.632374
0.4974              ,0.061989327997332    ,4074.850106638827  , 11.98610000000033   ,     40.0 ,            1.0 ,    0.0 , 429.73602484472053 ,                       0.138744 ,             0.167565 ,              0.016007 ,            2.719389
0.4957              ,0.06097968736938895  ,3995.355798419917  , 12.64930000000037   ,     30.0 ,            1.0 ,    0.0 , 443.91971664698934 ,                       0.138701 ,             0.16923  ,              0.013962 ,            2.641583
0.5008008008008008  ,0.06106039031744702  ,4065.7172938683366 , 12.725225225225529  ,     30.0 ,            1.0 ,    0.0 , 424.45482866043614 ,                       0.136778 ,             0.1697   ,              0.014127 ,            2.65379
0.5019019019019019  ,0.06432190017440412  ,4048.496038431129  , 12.940440440440732  ,     30.0 ,            1.0 ,    0.0 , 413.8984345169912  ,                       0.138167 ,             0.167877 ,              0.014214 ,            2.692477
0.4888888888888889  ,0.061889658626158084 ,3993.7012255745594 , 13.288888888889154  ,     40.0 ,            1.0 ,    0.0 , 428.8545382481173  ,                       0.135948 ,             0.188383 ,              0.01428  ,            2.657305
0.5057              ,0.06052521884118383  ,4130.760035061891  , 13.741100000000314  ,     30.0 ,            1.0 ,    0.0 , 407.1456615626227  ,                       0.184423 ,             0.166199 ,              0.016366 ,            2.625093
0.5078078078078078  ,0.06138011500958413  ,4074.2201375773197 , 13.167367367367655  ,     40.0 ,            1.0 ,    0.0 , 437.54972155926805 ,                       0.139152 ,             0.169604 ,              0.014206 ,            2.631153
0.5009              ,0.0615250580816462   ,4068.6561310172374 , 12.32530000000033   ,     40.0 ,            1.0 ,    0.0 , 437.1044303797468  ,                       0.135751 ,             0.168279 ,              0.014323 ,            2.615138
0.4888              ,0.06170355466130114  ,4125.444877661995  , 13.259900000000298  ,     40.0 ,            1.0 ,    0.0 , 403.6557501904037  ,                       0.14217  ,             0.168218 ,              0.016026 ,            2.764237
0.5031              ,0.06387573718747404  ,3958.588414874317  , 11.903700000000303  ,     40.0 ,            1.0 ,    0.0 , 429.9880999603332  ,                       0.137743 ,             0.166607 ,              0.013971 ,            2.605091
0.4969              ,0.060636431971936855 ,4092.7029970454773 , 13.579800000000285  ,     40.0 ,            1.0 ,    0.0 , 428.40375586854464 ,                       0.13523  ,             0.167253 ,              0.014334 ,            2.63512
0.5029              ,0.061931011442412094 ,4101.610004975252  , 13.249400000000303  ,     30.0 ,            1.0 ,    0.0 , 453.52564102564105 ,                       0.137419 ,             0.171253 ,              0.014792 ,            2.597317
0.4964964964964965  ,0.0614115490375802   ,4089.5191233118967 , 13.111611611611918  ,     40.0 ,            1.0 ,    0.0 , 435.8095238095238  ,                       0.141304 ,             0.176781 ,              0.015319 ,            2.69803
0.5001              ,0.060835073068893526 ,3968.2161757189615 , 10.391200000000293  ,     40.0 ,            1.0 ,    0.0 , 427.48701558130244 ,                       0.136248 ,             0.17154  ,              0.014536 ,            2.614022
0.5008              ,0.0614406779661017   ,4077.861047700372  , 12.182500000000333  ,     40.0 ,            1.0 ,    0.0 , 444.79872459147066 ,                       0.136237 ,             0.166706 ,              0.014419 ,            2.642591
